Method,Atom,Basis,Grid_Sph,Grid_Rad,"Energy,Ha",Iterations,DIIS,Damp_Start,Damp_End,Damp_Cutoff
TF0.2W FA,Kr,UGBS_S,6,1000,-2690.499851,5501,True,0.99,0.9,0.0001
TF0.166666W LDA,Mg,UGBS_S,6,1000,-204.540681,602,True,0.9,0.9,0.0001
TF0.166666W LDA,Ar,UGBS_S,6,1000,-537.20876,3134,True,0.9,0.9,0.0001
TF0.166666W LDA,Ca,UGBS_S,6,1000,-690.396265,1254,True,0.9,0.9,0.0001
TF0.166666W LDA,Na,UGBS_S,6,1000,-166.247018,3956,True,0.99,0.9,0.0001
TF0.166666W LDA,Al,UGBS_S,6,1000,-247.478726,6369,True,0.99,0.9,0.0001
TF0.166666W LDA,P,UGBS_S,6,1000,-347.79995,3755,True,0.99,0.9,0.0001
TF0.166666W LDA,Zn,UGBS_S,6,1000,-1812.192488,9684,True,0.99,0.9,0.0001
TF0.166666W FA,Mg,UGBS_S,6,1000,-198.305386,2226,True,0.99,0.9,9e-05
TF0.166666W FA,Al,UGBS_S,6,1000,-240.123724,7030,True,0.99,0.9,9e-05
TF0.166666W FA,Si,UGBS_S,6,1000,-286.667497,6817,True,0.99,0.9,9e-05
TF0.166666W FA,P,UGBS_S,6,1000,-338.045378,7631,True,0.99,0.9,9e-05
TF0.166666W FA,S,UGBS_S,6,1000,-394.530559,5383,True,0.99,0.9,9e-05
TF0.166666W FA,Ar,UGBS_S,6,1000,-522.928926,3056,True,0.99,0.9,9e-05
TF0.166666W FA,K,UGBS_S,6,1000,-595.12759,7430,True,0.99,0.9,9e-05
TF0.166666W FA,Ca,UGBS_S,6,1000,-672.808485,3973,True,0.99,0.9,9e-05
TF0.166666W FA,Zn,UGBS_S,6,1000,-1773.727671,4525,True,0.99,0.9,9e-05
TF0.166666W FA,Kr,UGBS_S,6,1000,-2741.665221,7551,True,0.99,0.9,9e-05
TF0.166666W PBE,Na,UGBS_S,6,1000,-167.439022,8494,True,0.99,0.99,9e-05
TF0.166666W PBE,Mg,UGBS_S,6,1000,-205.864548,3804,True,0.99,0.99,9e-05
TF0.166666W PBE,Si,UGBS_S,6,1000,-296.779753,4454,True,0.99,0.99,9e-05
TF0.166666W PBE,P,UGBS_S,6,1000,-349.517759,11402,True,0.99,0.99,9e-05
TF0.166666W PBE,Ar,UGBS_S,6,1000,-539.346529,3830,True,0.99,0.99,9e-05
TF0.166666W PBE,Ca,UGBS_S,6,1000,-692.81497,9930,True,0.99,0.99,9e-05
